Observe,Describe,Awarenness,Nonjudge,Nonreact,EI,Depression,MASS,Openness,Extraversion,Neurotic
28,34,21,5,22,141,110,78,23,16,18
16,17,14,15,15,118,73,48,18,20,26
29,28,13,5,24,125,103,37,19,10,26
31,26,18,11,21,130,118,49,29,17,23
20,18,19,11,16,134,118,55,17,12,18
20,22,22,12,17,116,117,48,14,13,28
29,32,26,10,20,137,90,70,20,19,18
34,33,16,8,25,151,105,54,37,32,22
23,27,24,14,19,134,79,74,21,22,19
11,15,20,12,15,122,55,74,25,12,16
33,16,12,7,20,128,106,41,21,13,24
23,30,23,12,22,144,96,53,19,20,17
31,23,16,8,26,133,70,61,12,17,16
24,24,20,12,18,126,94,60,14,18,18
28,18,15,9,17,111,110,60,26,25,25
22,21,15,12,11,131,92,54,24,14,23
23,20,14,10,16,131,99,53,18,19,25
26,27,21,16,24,124,112,52,12,14,21
30,24,24,10,21,115,70,60,20,16,16
29,26,28,12,27,152,62,90,38,28,11
32,30,27,12,25,126,90,83,17,19,18
31,20,25,7,23,106,98,64,19,17,22
17,19,20,16,15,118,81,53,20,18,20
26,29,24,16,20,145,60,74,24,16,13
10,16,25,15,13,121,106,65,16,22,26
22,15,16,9,13,133,114,58,16,12,22
23,21,16,11,16,132,120,65,18,26,28
26,26,19,10,22,137,124,54,19,20,22
22,15,15,8,16,110,104,48,25,19,23
19,25,13,9,19,121,70,56,22,14,18
31,31,24,12,26,143,123,71,14,16,20
29,27,25,9,22,117,91,67,24,13,23
27,19,16,10,19,122,77,65,16,11,23
27,22,16,11,19,127,84,76,20,18,17
29,14,17,13,18,103,86,64,17,13,24
28,20,14,7,13,117,119,36,27,13,27
32,25,11,5,28,134,90,74,41,29,16
28,21,20,11,19,123,97,58,14,13,24
25,22,17,11,20,128,103,55,22,14,20
20,19,23,13,25,126,97,66,22,16,16
14,22,27,12,13,125,77,79,27,17,21
25,16,15,9,23,136,107,52,20,16,24
29,28,28,7,24,133,86,75,20,12,17
35,25,19,9,28,143,67,70,33,25,10
23,19,22,9,19,113,95,47,24,27,23
21,24,22,13,20,106,83,48,22,19,23
